# Constructed from biom file
#OTU ID	ACB.StMiMe.15_100K-taxa	ACB.Saliva.17_100K-taxa	ACB.StMiMe.18_100K-taxa	ACB.StMiMe.2_100K-taxa	ACB.StMiMe.19_100K-taxa	ACB.Saliva.151_100K-taxa	ACB.Saliva.111_100K-taxa	ACB.StMiMe.8_100K-taxa	ACB.Saliva.31_100K-taxa	ACB.Saliva.100_100K-taxa	Consensus Lineage
1160721	16.0	0.0	70.0	2443.0	4.0	0.0	0.0	524.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__bicirculans (ex Wegman et al. 2014)
438033	11.0	0.0	0.0	7.0	10.0	0.0	0.0	10.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__gauvreauii
2564099	9.0	0.0	1.0	18.0	1.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__bovis
1264	4.0	0.0	3.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__albus
1161942	3.0	0.0	7.0	43.0	2.0	0.0	0.0	4.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__champanellensis
1981510	365.0	0.0	141.0	3.0	146.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Monoglobus; s__pectinilyticus
2892396	4.0	0.0	18.0	2.0	5.0	0.0	0.0	4.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Vescimonas; s__
2714355	105.0	0.0	305.0	28.0	361.0	0.0	0.0	144.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Vescimonas; s__coprocola
2714353	20.0	0.0	24.0	11.0	26.0	0.0	0.0	15.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Vescimonas; s__fastidiosa
292800	89.0	0.0	90.0	31.0	209.0	0.0	0.0	58.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Flavonifractor; s__plautii
1550024	78.0	1.0	35.0	17.0	136.0	0.0	0.0	33.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruthenibacterium; s__lactatiformans
214851	70.0	0.0	54.0	45.0	71.0	0.0	0.0	171.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Subdoligranulum; s__variabile
2714358	69.0	0.0	25.0	8.0	171.0	0.0	0.0	24.0	1.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Pusillibacter; s__faecalis
2093857	56.0	1.0	131.0	19.0	338.0	0.0	0.0	56.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Dysosmobacter; s__welbionis
2108523	43.0	0.0	76.0	7.0	137.0	0.0	0.0	55.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Lawsonibacter; s__asaccharolyticus
2780922	41.0	0.0	28.0	2.0	4.0	0.0	0.0	4.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Solibaculum; s__mannosilyticum
169435	32.0	0.0	43.0	55.0	73.0	0.0	0.0	22.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Anaerotruncus; s__colihominis
2763056	16.0	0.0	27.0	32.0	5.0	0.0	0.0	27.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Oscillibacter; s__hominis
2766537	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Caproicibacterium; s__amylolyticum
2666138	3.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Caproicibacterium; s__lactatifermentans
2994078	2.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Caproicibacterium; s__sp. BJN0003
253239	3.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ethanoligenens; s__harbinense
1796620	3.0	1.0	0.0	5.0	9.0	0.0	0.0	3.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Acutalibacter; s__muris
288965	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Acetivibrio; s__clariflavus
1677857	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Acetivibrio; s__saccincola
3070656	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Paludihabitans; s__Paludicola sp. MB14-C6
3045146	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Petroclostridium; s__sp. X23
1510	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Thermoclostridium; s__stercorarium
84032	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Pseudoclostridium; s__thermosuccinogenes
